OBJECTID,CRA_NO,Neighborhood ID,Community Reporting Area Name,Neighborhood Names,Neighborhood District,Area in Acres,Area in Sq. Miles,Total Population,Median age,White,White (%),African American,African American (%),American Indian and Alaska Native,American Indian and Alaska Native (%),Asian,Asian (%),Pacific Islander,Pacific Islander (%),Other race,Other race (%),Two or more races,Two or more races (%),Hispanic or Latino,Hispanic or Latino (%_,Population in Households,Population in Households (%),Population in Group Quarter ,Population in Group Quarter (%),Total Housholds,Family Households,Family Households (%),Non-Family Households,Non-Family Households (%),Avg. Household size,Total Housing Units,Occupied Housing Units,Occupied Housing Units (%),Vacant Housing Units,Vacant Housing Units (%_,Owner Owned Housing ,Owner Owned Housing  (%),Renter occupied housing,Renter occupied housing (%),POPULATION_5_YEARS_AND_OVER,Median Household Income,PCT_POPULATION_UNDER_POVERTY,PCT_ALL_FAMILY_UNDER_POVERTY,POP_POVERTY_STATUS_DETERMINED,POP_200_PCT_BELOW_POVERTY,PCT_POP_200_PCT_BELOW_POVERTY,PERSON_OF_COLOR,Population under 18,Population under 18 (%),PCT_PERSON_OF_COLOR,Civilian labor force,Civilian labor force employed,Civilian labor force unemployed,Not in labor force,HH_INCOME_LESS_THAN_10_000,HH_INCOME_10_000_TO_14_999,HH_INCOME_15_000_TO_24_999,HH_INCOME_25_000_TO_34_999,HH_INCOME_35_000_TO_49_999,HH_INCOME_50_000_TO_74_999,HH_INCOME_75_000_TO_99_999,HH_INCOME_100_000_TO_149_999,HH_INCOME_150_000_TO_199_999,HH_INCOME_200_000_OR_MORE,PERCENT_UNEMPLOYED,Population per Gross Acre,Housing Units per Gross Acre,Households per Gross Acre,SHAPE_Length,SHAPE_Area,Latitude,Longitude
1,10.4,10,Ballard,"Ballard, West Woodland, Adams",Ballard,492.9,0.77,8649,34.3,6745,78,158,1.8,0,0,836,9.7,0,0,0,0,591,6.8,319,3.7,8611,99.6,38,0.4,5328,1417,26.6,3911,73.4,1.62,5580,5328,95.5,252,4.5,1456,27.3,3872,72.7,8362,79162,7,0,8649,1342,15.5,1904,671,7.8,22,6313,5989,324,1736,298,160,356,321,451,882,1048,847,256,709,5.1,17.55,11.32,10.81,22105.83227,21472310.57,47.665804,-122.379226
2,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",Ballard,1284.4,2.01,12701,42.6,10169,80.1,82,0.6,58,0.5,983,7.7,0,0,96,0.8,965,7.6,348,2.7,12626,99.4,75,0.6,5309,3200,60.3,2109,39.7,2.38,5532,5309,96,223,4,3850,72.5,1459,27.5,11977,94804,7.8,6.6,12692,1846,14.5,2532,2412,19,19.9,7787,7519,268,2666,228,116,294,295,326,977,627,885,494,1067,3.4,9.89,4.31,4.13,39223.39137,55950011.03,47.699993,-122.374384
3,7.1,7,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",Northeast,951.1,1.49,9732,37.3,7919,81.4,93,1,12,0.1,858,8.8,48,0.5,24,0.2,432,4.4,346,3.6,9688,99.5,44,0.5,4635,2355,50.8,2280,49.2,2.09,4831,4635,95.9,196,4.1,2638,56.9,1997,43.1,9198,132573,4.6,2,9657,886,9.2,1813,1397,14.4,18.6,6518,6408,110,1941,68,45,72,134,350,647,560,1042,471,1246,1.7,10.23,5.08,4.87,50694.32098,41429077.49,47.639969,-122.312162
4,12.2,12,Interbay,Interbay,Magnolia/Queen Anne,1214.6,1.9,11024,34.4,8076,73.3,694,6.3,20,0.2,965,8.8,22,0.2,0,0,564,5.1,683,6.2,10755,97.6,269,2.4,5616,1955,34.8,3661,65.2,1.92,6114,5616,91.9,498,8.1,2053,36.6,3563,63.4,10449,74679,8.7,4.5,10776,1818,16.9,2948,1452,13.2,26.7,7885,7551,334,1675,153,58,312,289,827,1186,838,1035,386,532,4.2,9.08,5.03,4.62,68274.91776,52907762.84,47.645169,-122.379354
5,6.3,6,North Capitol Hill,"North Capitol Hill, Capitol Hill, North Broadway",East,283.7,0.44,4807,36.1,3913,81.4,19,0.4,9,0.2,289,6,14,0.3,48,1,296,6.2,219,4.6,4796,99.8,11,0.2,2481,1011,40.7,1470,59.3,1.93,2599,2481,95.5,118,4.5,1124,45.3,1357,54.7,4548,96220,2.3,1.2,4789,448,9.4,894,655,13.6,18.6,3415,3266,149,759,0,39,147,71,258,409,338,449,204,566,4.4,16.94,9.16,8.75,18047.38244,12356839.92,47.628489,-122.320303
6,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",East,426.5,0.67,23837,31.6,16749,70.3,1043,4.4,82,0.3,2817,11.8,65,0.3,40,0.2,1763,7.4,1278,5.4,23631,99.1,206,0.9,16044,2701,16.8,13343,83.2,1.47,17090,16044,93.9,1046,6.1,2837,17.7,13207,82.3,23323,58476,14,7.3,23799,6284,26.4,7088,1006,4.2,29.7,18997,18546,451,3803,1174,694,1348,1404,1788,2819,2276,2490,1076,975,2.4,55.89,40.07,37.62,19343.79675,18579973.38,47.618192,-122.321713
7,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",Northeast,1502.6,2.35,16188,41.1,12630,78,53,0.3,36,0.2,1903,11.8,21,0.1,35,0.2,823,5.1,687,4.2,16086,99.4,102,0.6,6588,4467,67.8,2121,32.2,2.44,6906,6588,95.4,318,4.6,4931,74.8,1657,25.2,15271,114723,5.6,3.1,16080,1829,11.4,3558,3494,21.6,22,9259,8871,388,3734,166,169,138,376,632,780,610,1113,833,1771,4.2,10.77,4.6,4.38,41707.08581,65452932.66,47.693939,-122.289757
8,10.2,10,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",Ballard,688.7,1.08,12927,36.7,10516,81.3,161,1.2,0,0,693,5.4,22,0.2,0,0,760,5.9,775,6,12911,99.9,16,0.1,5909,2888,48.9,3021,51.1,2.18,6118,5909,96.6,209,3.4,3513,59.5,2396,40.5,12060,100023,5.1,1.7,12888,1773,13.8,2411,2373,18.4,18.7,8737,8390,347,1973,99,177,279,398,335,866,794,1300,700,961,4,18.77,8.88,8.58,23916.85238,29997852.14,47.681815,-122.371196
9,2.1,2,North Delridge,"North Delridge, Pigeon Point, Avalon, Luna Park, Harbor Island",Delridge Neighborhoods,1606.9,2.51,5675,36.7,4224,74.4,136,2.4,0,0,517,9.1,0,0,0,0,312,5.5,486,8.6,5658,99.7,17,0.3,2858,1412,49.4,1446,50.6,1.98,2978,2858,96,120,4,1478,51.7,1380,48.3,5345,75000,8.7,8.1,5675,882,15.5,1451,818,14.4,25.6,3992,3710,282,913,102,73,161,130,364,599,323,570,361,175,7.1,3.53,1.85,1.78,64237.74268,69994939.18,47.573781,-122.359622
10,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",Northwest,1478.5,2.31,15073,46.3,10181,67.5,1137,7.5,44,0.3,1821,12.1,45,0.3,0,0,896,5.9,949,6.3,14705,97.6,368,2.4,7448,3340,44.8,4108,55.2,1.97,7913,7448,94.1,465,5.9,3173,42.6,4275,57.4,14322,77688,13.4,8,14707,3850,26.2,4892,2057,13.6,32.5,8222,7893,329,5076,524,448,722,1262,877,853,734,778,494,756,4,10.19,5.35,5.04,39475.88135,64401922.36,47.717887,-122.366402
